,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
294,Toronto,519888,2,1,Ontario,5647656,43.7417,-79.3733,97000
295,Toronto,1189000,3,2,Ontario,5647656,43.7417,-79.3733,97000
296,Toronto,618900,2,1,Ontario,5647656,43.7417,-79.3733,97000
297,Toronto,565000,1,1,Ontario,5647656,43.7417,-79.3733,97000
298,Toronto,545000,1,1,Ontario,5647656,43.7417,-79.3733,97000
299,Toronto,1345000,4,2,Ontario,5647656,43.7417,-79.3733,97000
300,Toronto,1999000,3,3,Ontario,5647656,43.7417,-79.3733,97000
301,Toronto,1100000,2,2,Ontario,5647656,43.7417,-79.3733,97000
302,Toronto,2199888,6,4,Ontario,5647656,43.7417,-79.3733,97000
303,Toronto,899000,3,2,Ontario,5647656,43.7417,-79.3733,97000
304,Toronto,749000,2,2,Ontario,5647656,43.7417,-79.3733,97000
305,Toronto,2229000,4,2,Ontario,5647656,43.7417,-79.3733,97000
306,Toronto,689000,2,2,Ontario,5647656,43.7417,-79.3733,97000
307,Toronto,1138000,2,2,Ontario,5647656,43.7417,-79.3733,97000
308,Toronto,999000,2,2,Ontario,5647656,43.7417,-79.3733,97000
309,Toronto,725000,2,2,Ontario,5647656,43.7417,-79.3733,97000
310,Toronto,1100000,2,2,Ontario,5647656,43.7417,-79.3733,97000
311,Toronto,609999,2,1,Ontario,5647656,43.7417,-79.3733,97000
312,Toronto,599000,1,1,Ontario,5647656,43.7417,-79.3733,97000
313,Toronto,1060000,7,5,Ontario,5647656,43.7417,-79.3733,97000
314,Toronto,598000,1,1,Ontario,5647656,43.7417,-79.3733,97000
315,Toronto,588000,3,2,Ontario,5647656,43.7417,-79.3733,97000
316,Toronto,999000,2,2,Ontario,5647656,43.7417,-79.3733,97000
317,Toronto,5999999,5,5,Ontario,5647656,43.7417,-79.3733,97000
318,Toronto,1800000,4,3,Ontario,5647656,43.7417,-79.3733,97000
319,Toronto,899000,3,2,Ontario,5647656,43.7417,-79.3733,97000
320,Toronto,659900,2,2,Ontario,5647656,43.7417,-79.3733,97000
321,Toronto,1000000,3,2,Ontario,5647656,43.7417,-79.3733,97000
322,Toronto,1094000,2,2,Ontario,5647656,43.7417,-79.3733,97000
323,Toronto,1250000,4,2,Ontario,5647656,43.7417,-79.3733,97000
324,Toronto,1300000,4,3,Ontario,5647656,43.7417,-79.3733,97000
325,Toronto,698000,2,1,Ontario,5647656,43.7417,-79.3733,97000
326,Toronto,1649000,2,3,Ontario,5647656,43.7417,-79.3733,97000
327,Toronto,1079000,3,2,Ontario,5647656,43.7417,-79.3733,97000
328,Toronto,2149000,4,3,Ontario,5647656,43.7417,-79.3733,97000
329,Toronto,932900,3,2,Ontario,5647656,43.7417,-79.3733,97000
330,Toronto,680000,2,2,Ontario,5647656,43.7417,-79.3733,97000
331,Toronto,649000,1,1,Ontario,5647656,43.7417,-79.3733,97000
332,Toronto,2399000,3,4,Ontario,5647656,43.7417,-79.3733,97000
333,Toronto,569900,2,1,Ontario,5647656,43.7417,-79.3733,97000
334,Toronto,678000,2,1,Ontario,5647656,43.7417,-79.3733,97000
335,Toronto,1899000,4,3,Ontario,5647656,43.7417,-79.3733,97000
336,Toronto,729000,2,1,Ontario,5647656,43.7417,-79.3733,97000
337,Toronto,3349000,5,5,Ontario,5647656,43.7417,-79.3733,97000
